aeroporto,mese,voli_ritardo_basso,ritardo_medio_dep_basso,ritardo_medio_arr_basso,voli_ritardo_medio,ritardo_medio_dep_medio,ritardo_medio_arr_medio,voli_ritardo_alto,ritardo_medio_dep_alto,ritardo_medio_arr_alto,top_3_cause_ritardo_canc
ADQ,7,2,1.0,-3.5,0,,,0,,,N/D
AEX,1,5,-3.0,-5.4,0,,,0,,,N/D
AEX,3,1,1.0,-7.0,0,,,0,,,N/D
AEX,4,2,-10.0,-20.0,0,,,0,,,N/D
AEX,5,3,-7.0,-12.33,0,,,1,148.0,186.0,DELAY_CARRIER
AEX,6,2,-3.0,-11.0,0,,,0,,,N/D
AEX,7,2,-7.5,-13.0,0,,,0,,,N/D
AEX,9,2,-5.5,-12.0,1,38.0,34.0,0,,,DELAY_LATE_AIRCRAFT
AEX,10,1,-3.0,-4.0,0,,,0,,,N/D
AEX,11,3,-4.33,-4.0,0,,,0,,,DELAY_NAS
AEX,12,4,-2.75,-2.5,0,,,0,,,DELAY_NAS
AGS,1,0,,,0,,,1,338.0,333.0,DELAY_CARRIER
AGS,2,5,-2.6,-8.4,0,,,1,67.0,54.0,DELAY_CARRIER
AGS,4,3,-4.67,-2.33,1,30.0,11.0,0,,,N/D
AGS,5,2,-4.0,-16.5,0,,,1,61.0,48.0,DELAY_WEATHER
AGS,6,6,-5.17,-14.5,3,34.33,22.0,0,,,DELAY_LATE_AIRCRAFT
AGS,7,4,-6.25,-4.5,0,,,1,65.0,77.0,DELAY_LATE_AIRCRAFT
AGS,8,5,-4.4,-10.2,1,40.0,29.0,0,,,DELAY_LATE_AIRCRAFT
AGS,9,5,-2.6,-7.0,0,,,0,,,DELAY_NAS
AGS,10,3,-2.33,-4.33,1,60.0,49.0,0,,,DELAY_CARRIER
AGS,11,1,10.0,9.0,0,,,0,,,N/D
AGS,12,3,-2.67,-10.0,0,,,1,955.0,935.0,DELAY_CARRIER
AKN,6,1,7.0,14.0,0,,,0,,,N/D
AKN,7,1,-16.0,-12.0,1,26.0,32.0,0,,,DELAY_SECURITY
AKN,9,1,-26.0,-20.0,0,,,0,,,N/D
ALB,1,3,0.67,1.33,2,42.5,55.5,2,228.5,251.5,DELAY_LATE_AIRCRAFT|DELAY_NAS
ALB,2,13,-5.38,-24.69,0,,,0,,,N/D
ALB,3,12,-1.75,-10.25,1,40.0,18.0,1,630.0,646.0,DELAY_CARRIER|DELAY_LATE_AIRCRAFT
ALB,4,9,-2.78,-8.67,1,26.0,17.0,0,,,DELAY_LATE_AIRCRAFT
ALB,5,12,-1.08,-11.67,1,36.0,20.0,1,88.0,110.0,DELAY_LATE_AIRCRAFT|DELAY_NAS
ALB,6,4,-8.0,-12.75,1,58.0,51.0,0,,,DELAY_CARRIER
ALB,7,4,-3.25,-11.25,0,,,1,64.0,73.0,CANC_WEATHER|DELAY_CARRIER
ALB,8,11,0.91,-7.18,1,27.0,60.0,2,88.5,96.5,DELAY_LATE_AIRCRAFT|DELAY_NAS
ALB,9,12,-5.67,-9.5,2,28.5,16.0,1,108.0,93.0,DELAY_LATE_AIRCRAFT|DELAY_NAS
ALB,10,6,-2.5,-16.5,3,29.0,9.67,1,228.0,211.0,DELAY_LATE_AIRCRAFT
ALB,11,17,-3.0,-15.06,3,20.67,10.33,1,70.0,67.0,DELAY_LATE_AIRCRAFT|DELAY_CARRIER
ALB,12,8,-4.12,-8.62,1,19.0,32.0,2,83.0,72.0,DELAY_LATE_AIRCRAFT
ALW,1,2,-5.0,2.0,0,,,0,,,N/D
ALW,2,0,,,0,,,1,74.0,82.0,DELAY_LATE_AIRCRAFT
ALW,3,1,-7.0,-6.0,0,,,0,,,N/D
ALW,5,2,-8.0,-3.5,0,,,0,,,N/D
ALW,8,3,-9.33,-19.33,0,,,0,,,N/D
AMA,1,1,-8.0,-17.0,0,,,0,,,N/D
AMA,2,3,-7.67,-13.33,0,,,0,,,N/D
AMA,3,3,-9.33,-23.33,2,32.5,32.0,1,273.0,262.0,DELAY_CARRIER
AMA,4,1,-2.0,-14.0,1,42.0,33.0,0,,,DELAY_LATE_AIRCRAFT
AMA,5,2,-2.0,-4.5,0,,,0,,,N/D
AMA,6,6,-5.0,-7.33,2,44.5,42.0,0,,,DELAY_CARRIER|DELAY_LATE_AIRCRAFT|DELAY_NAS
AMA,7,3,-3.33,-10.0,0,,,0,,,N/D
AMA,8,2,-7.5,-8.5,0,,,1,169.0,156.0,DELAY_CARRIER
AMA,9,1,-10.0,8.0,0,,,0,,,N/D
AMA,10,1,-9.0,-16.0,1,18.0,11.0,0,,,N/D
AMA,11,8,-6.25,-6.0,0,,,0,,,DELAY_NAS
AMA,12,5,-3.0,-13.8,0,,,0,,,N/D
ANC,1,13,-5.38,-11.85,1,29.0,-19.0,2,448.5,448.5,DELAY_CARRIER|DELAY_NAS
ANC,2,8,-7.88,-15.25,2,24.5,19.0,0,,,DELAY_LATE_AIRCRAFT
ANC,3,13,-5.92,-10.46,3,33.67,18.33,0,,,DELAY_LATE_AIRCRAFT|DELAY_NAS
ANC,4,12,-4.0,-10.08,1,57.0,38.0,1,69.0,65.0,DELAY_CARRIER|DELAY_LATE_AIRCRAFT|DELAY_NAS
ANC,5,17,-6.29,-15.35,0,,,0,,,N/D
ANC,6,20,-6.3,-6.3,0,,,0,,,DELAY_NAS
ANC,7,15,-2.67,0.47,3,29.33,19.33,2,152.5,138.0,DELAY_CARRIER|DELAY_LATE_AIRCRAFT|CANC_CARRIER
ANC,8,25,-0.4,-8.28,4,32.5,20.75,0,,,DELAY_NAS|DELAY_CARRIER|DELAY_LATE_AIRCRAFT
ANC,9,14,-6.07,-5.57,1,28.0,5.0,0,,,N/D
ANC,10,8,-7.5,-6.25,1,21.0,15.0,0,,,DELAY_CARRIER
ANC,11,9,-9.0,-15.56,1,29.0,34.0,0,,,CANC_WEATHER|DELAY_CARRIER
ANC,12,6,-5.83,-17.67,3,22.0,14.0,0,,,DELAY_LATE_AIRCRAFT
APN,3,2,-8.5,-18.5,0,,,0,,,N/D
APN,5,2,-6.5,-22.0,0,,,0,,,N/D
APN,6,1,2.0,-4.0,0,,,0,,,N/D
APN,8,0,,,1,55.0,46.0,0,,,DELAY_CARRIER
APN,10,1,-9.0,-17.0,0,,,0,,,N/D
APN,12,1,-17.0,-17.0,0,,,0,,,N/D
ASE,1,6,-4.5,-14.17,0,,,0,,,CANC_WEATHER|DELAY_NAS
ASE,2,5,-7.2,-20.2,2,48.0,22.5,1,376.0,354.0,DELAY_WEATHER|CANC_WEATHER|DELAY_LATE_AIRCRAFT
ASE,3,3,6.67,1.0,2,45.0,44.5,0,,,CANC_WEATHER|DELAY_LATE_AIRCRAFT|DELAY_WEATHER
ASE,4,5,-6.6,-3.4,0,,,0,,,CANC_WEATHER|DELAY_CARRIER
ASE,5,2,-9.0,-12.0,1,60.0,57.0,1,134.0,114.0,DELAY_CARRIER|DELAY_WEATHER
ASE,6,5,-4.0,-6.2,0,,,0,,,N/D
ASE,7,5,-6.8,-13.8,1,18.0,0.0,0,,,N/D
ASE,8,3,-7.67,-12.67,3,30.67,37.33,1,190.0,183.0,DELAY_CARRIER|DELAY_WEATHER
ASE,9,3,-8.0,-20.0,1,46.0,41.0,3,85.33,82.67,DELAY_CARRIER
ASE,10,2,-10.0,-21.5,1,20.0,11.0,0,,,N/D
ASE,11,1,-9.0,-3.0,2,33.0,25.5,0,,,DELAY_CARRIER
ASE,12,2,-6.0,-21.5,1,38.0,68.0,2,85.0,90.0,CANC_WEATHER|DELAY_LATE_AIRCRAFT|DELAY_NAS
ATL,1,212,-1.65,-4.8,31,30.97,23.16,12,122.17,120.08,DELAY_CARRIER|DELAY_NAS|DELAY_LATE_AIRCRAFT
ATL,2,217,-2.46,-6.93,14,34.36,28.29,5,80.2,75.0,DELAY_NAS|DELAY_CARRIER|DELAY_LATE_AIRCRAFT
ATL,3,257,-1.91,-6.5,38,30.39,25.18,13,102.46,99.0,DELAY_CARRIER|DELAY_LATE_AIRCRAFT|DELAY_NAS
ATL,4,224,-1.53,-4.13,41,28.17,28.1,8,98.5,100.0,DELAY_CARRIER|DELAY_LATE_AIRCRAFT|DELAY_NAS
ATL,5,234,-1.32,-3.44,50,29.14,31.6,35,142.11,143.17,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
ATL,6,245,-1.08,-6.53,54,33.17,28.56,14,145.57,137.86,DELAY_CARRIER|DELAY_LATE_AIRCRAFT|DELAY_NAS
ATL,7,173,-1.02,-3.22,53,31.68,32.87,53,154.11,152.21,DELAY_CARRIER|DELAY_LATE_AIRCRAFT|DELAY_NAS
ATL,8,236,-2.37,-8.0,46,31.02,25.72,20,117.9,112.0,DELAY_CARRIER|DELAY_LATE_AIRCRAFT|DELAY_NAS
ATL,9,210,-2.8,-7.74,29,32.24,25.66,14,192.64,187.86,DELAY_CARRIER|DELAY_LATE_AIRCRAFT|DELAY_NAS
ATL,10,269,-3.23,-9.11,22,32.68,25.55,12,113.75,107.0,DELAY_CARRIER|DELAY_LATE_AIRCRAFT|DELAY_NAS
ATL,11,251,-3.17,-6.81,25,30.68,23.84,8,146.0,146.88,DELAY_CARRIER|DELAY_LATE_AIRCRAFT|DELAY_NAS
ATL,12,212,-1.48,-6.92,51,30.94,30.73,11,223.55,225.36,DELAY_CARRIER|DELAY_LATE_AIRCRAFT|DELAY_NAS
ATW,1,3,0.0,-12.33,0,,,0,,,N/D
ATW,2,7,-6.57,-5.43,1,42.0,27.0,0,,,DELAY_CARRIER|DELAY_LATE_AIRCRAFT
ATW,3,3,1.67,-10.67,1,26.0,20.0,0,,,DELAY_NAS
ATW,4,8,-9.12,-14.12,1,19.0,18.0,0,,,DELAY_LATE_AIRCRAFT
ATW,5,3,-5.67,-3.67,1,36.0,37.0,0,,,DELAY_LATE_AIRCRAFT|DELAY_NAS
ATW,6,1,-8.0,-9.0,0,,,1,107.0,79.0,DELAY_LATE_AIRCRAFT
ATW,7,6,-4.67,-4.17,1,52.0,58.0,0,,,DELAY_LATE_AIRCRAFT
ATW,8,4,-6.5,-9.0,0,,,0,,,N/D
ATW,9,3,-4.33,-22.33,0,,,0,,,N/D
ATW,10,3,-4.0,-10.33,1,27.0,13.0,0,,,N/D
ATW,11,5,0.6,-11.6,1,27.0,20.0,0,,,DELAY_CARRIER
ATW,12,2,-4.5,-2.5,1,27.0,37.0,2,349.5,348.0,DELAY_CARRIER|DELAY_LATE_AIRCRAFT|DELAY_WEATHER
AUS,1,40,-2.05,-5.22,11,34.0,24.82,2,117.5,130.0,DELAY_LATE_AIRCRAFT|DELAY_NAS|CANC_CARRIER
AUS,2,45,-2.84,-5.6,7,24.0,16.86,3,95.67,90.0,DELAY_NAS|DELAY_CARRIER|DELAY_LATE_AIRCRAFT
AUS,3,55,-2.96,-8.6,15,35.93,36.6,4,178.75,173.0,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
AUS,4,46,-2.43,-8.2,14,28.43,20.14,5,138.4,126.2,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
AUS,5,41,-0.78,-2.46,14,27.86,20.79,12,121.25,116.0,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
AUS,6,55,-1.67,-8.71,14,29.21,22.5,7,212.29,210.43,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
AUS,7,50,-1.12,-6.38,11,30.36,35.09,6,187.67,167.33,DELAY_NAS|DELAY_LATE_AIRCRAFT|DELAY_CARRIER
AUS,8,51,-1.51,-6.41,8,20.5,24.75,2,164.5,154.5,DELAY_NAS|DELAY_CARRIER|DELAY_LATE_AIRCRAFT
AUS,9,52,-2.58,-6.25,7,22.57,21.43,4,112.25,99.0,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_WEATHER
AUS,10,68,-2.88,-9.1,3,28.33,20.67,1,138.0,132.0,DELAY_CARRIER|DELAY_LATE_AIRCRAFT|DELAY_NAS
AUS,11,46,-3.04,-10.2,12,36.75,39.17,0,,,DELAY_CARRIER|DELAY_LATE_AIRCRAFT|DELAY_NAS
AUS,12,50,-1.18,-8.24,10,31.8,24.1,5,132.4,143.2,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
AVL,1,8,-3.75,-10.5,3,21.33,12.33,0,,,DELAY_LATE_AIRCRAFT
AVL,2,7,-7.29,-9.14,0,,,0,,,N/D
AVL,3,5,-6.6,-11.6,3,29.0,16.67,1,73.0,91.0,DELAY_CARRIER|DELAY_LATE_AIRCRAFT|DELAY_NAS
AVL,4,10,-2.8,-8.8,0,,,0,,,DELAY_NAS
AVL,5,6,-1.17,5.0,2,17.5,10.5,2,148.5,138.5,DELAY_LATE_AIRCRAFT|DELAY_NAS
AVL,6,4,0.0,-6.0,4,27.0,19.75,2,68.0,60.5,DELAY_CARRIER|DELAY_LATE_AIRCRAFT|DELAY_WEATHER
AVL,7,8,-1.12,7.12,5,26.8,32.8,3,162.33,155.33,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
AVL,8,7,-4.86,-11.43,4,28.25,15.25,0,,,DELAY_CARRIER|CANC_WEATHER
AVL,9,8,-2.25,-12.88,1,20.0,7.0,0,,,CANC_WEATHER
AVL,10,13,-8.85,-13.77,0,,,2,66.0,67.5,DELAY_LATE_AIRCRAFT|CANC_NAS|DELAY_NAS
AVL,11,6,-5.5,-7.67,0,,,0,,,N/D
AVL,12,4,-7.5,-10.75,0,,,1,71.0,60.0,DELAY_LATE_AIRCRAFT
AVP,1,2,-7.5,-37.5,0,,,1,103.0,81.0,DELAY_CARRIER
AVP,5,1,-9.0,-12.0,2,22.5,16.0,1,97.0,110.0,DELAY_LATE_AIRCRAFT
AVP,6,0,,,0,,,0,,,CANC_NAS
AVP,7,2,2.0,-3.5,0,,,1,76.0,86.0,DELAY_LATE_AIRCRAFT
AVP,8,4,-9.5,-4.75,1,20.0,24.0,0,,,DELAY_CARRIER
AVP,9,0,,,1,56.0,58.0,0,,,CANC_WEATHER|DELAY_CARRIER
AVP,10,3,-3.33,-17.0,0,,,0,,,N/D
AVP,11,1,7.0,5.0,0,,,0,,,N/D
AVP,12,2,-7.5,-22.0,0,,,0,,,N/D
AZA,1,4,-2.75,6.25,2,20.0,31.5,0,,,DELAY_NAS|DELAY_CARRIER|DELAY_LATE_AIRCRAFT
AZA,2,4,2.25,-8.25,0,,,0,,,N/D
AZA,3,5,-9.6,-8.6,0,,,1,176.0,226.0,DELAY_LATE_AIRCRAFT
AZA,4,5,-10.8,-18.2,0,,,0,,,N/D
AZA,5,5,-2.4,-4.2,1,58.0,60.0,0,,,DELAY_LATE_AIRCRAFT
AZA,6,6,-9.83,-7.33,1,22.0,18.0,0,,,DELAY_LATE_AIRCRAFT
AZA,7,4,-9.25,-4.25,0,,,0,,,N/D
AZA,8,3,-12.0,-19.0,3,18.0,13.67,0,,,DELAY_LATE_AIRCRAFT|DELAY_WEATHER
AZA,9,8,-9.62,-19.88,0,,,0,,,N/D
AZA,10,5,-7.0,-11.0,0,,,0,,,N/D
AZA,11,2,-6.5,-18.0,0,,,1,187.0,170.0,DELAY_LATE_AIRCRAFT
AZA,12,8,-4.38,-5.5,2,36.0,18.5,1,187.0,182.0,DELAY_LATE_AIRCRAFT
AZO,1,2,-3.5,-18.0,0,,,0,,,N/D
AZO,3,1,-3.0,-9.0,0,,,0,,,N/D
AZO,5,2,-6.0,-5.0,0,,,0,,,N/D
AZO,6,0,,,1,53.0,48.0,0,,,DELAY_CARRIER
AZO,7,0,,,0,,,1,246.0,241.0,DELAY_CARRIER
AZO,9,1,-6.0,-9.0,0,,,0,,,N/D
AZO,12,1,-13.0,-24.0,0,,,0,,,N/D
BDL,1,7,-2.29,13.29,0,,,0,,,DELAY_NAS
BDL,2,13,-3.15,-11.31,1,19.0,-2.0,1,181.0,202.0,DELAY_NAS|DELAY_LATE_AIRCRAFT
BDL,3,20,-4.7,-12.2,1,18.0,27.0,2,107.5,114.0,DELAY_LATE_AIRCRAFT|DELAY_CARRIER
BDL,4,15,-1.2,-8.8,5,32.4,19.2,0,,,DELAY_CARRIER|DELAY_LATE_AIRCRAFT|DELAY_NAS
BDL,5,16,-0.62,-5.75,3,26.67,20.0,4,107.5,104.75,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
BDL,6,11,-1.64,-4.82,1,54.0,41.0,3,135.0,113.67,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
BDL,7,14,1.93,-2.57,2,22.5,32.0,6,102.17,101.0,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
BDL,8,19,-4.68,-3.89,2,20.5,34.0,0,,,DELAY_NAS|CANC_CARRIER|CANC_WEATHER
BDL,9,13,-2.08,-11.38,1,28.0,19.0,0,,,DELAY_CARRIER
BDL,10,14,-5.21,-18.71,2,22.0,23.0,0,,,DELAY_CARRIER|DELAY_LATE_AIRCRAFT
BDL,11,23,-5.78,-11.3,1,30.0,15.0,0,,,DELAY_NAS|DELAY_LATE_AIRCRAFT
BDL,12,13,-1.54,-5.92,0,,,2,91.0,110.0,DELAY_NAS
BET,2,1,-13.0,-14.0,0,,,0,,,N/D
BET,3,1,5.0,6.0,0,,,0,,,N/D
BET,4,3,-8.67,-9.0,0,,,0,,,N/D
BET,7,1,-16.0,-17.0,0,,,0,,,N/D
BET,9,1,-12.0,-11.0,0,,,0,,,N/D
BET,11,1,1.0,-3.0,0,,,0,,,N/D
BET,12,1,10.0,23.0,0,,,0,,,DELAY_NAS
BFF,1,1,-6.0,-20.0,0,,,0,,,N/D
BFF,4,0,,,1,49.0,34.0,0,,,DELAY_LATE_AIRCRAFT
BFF,6,1,-9.0,-19.0,0,,,0,,,N/D
BFF,8,0,,,0,,,1,747.0,791.0,DELAY_CARRIER
BFF,11,2,-4.0,0.0,0,,,0,,,N/D
BFL,1,4,-7.25,-13.0,0,,,0,,,N/D
BFL,2,3,-7.33,-27.0,0,,,1,146.0,129.0,DELAY_NAS
BFL,3,1,-5.0,-13.0,1,20.0,16.0,0,,,DELAY_CARRIER
BFL,4,2,-5.5,-18.0,0,,,0,,,N/D
BFL,5,0,,,0,,,1,104.0,92.0,DELAY_CARRIER
BFL,7,3,-7.67,-18.0,0,,,0,,,CANC_WEATHER
BFL,8,3,-7.67,-11.0,0,,,1,63.0,53.0,DELAY_CARRIER
BFL,9,3,-9.0,-13.33,1,29.0,2.0,0,,,N/D
BFL,10,2,-5.0,-19.5,1,55.0,46.0,1,586.0,569.0,DELAY_CARRIER|DELAY_LATE_AIRCRAFT
BFL,11,2,-6.0,-19.5,0,,,0,,,N/D
BFL,12,2,-7.5,-18.0,0,,,0,,,N/D
BGM,1,0,,,0,,,0,,,CANC_WEATHER
BGM,5,1,-10.0,-14.0,0,,,0,,,N/D
BGM,8,1,-5.0,-7.0,0,,,0,,,N/D
BGR,1,3,-10.67,-18.0,0,,,0,,,N/D
BGR,2,3,-13.0,-7.67,0,,,0,,,DELAY_NAS
BGR,3,4,-7.5,-30.5,0,,,0,,,N/D
BGR,4,3,-12.33,-7.67,0,,,0,,,N/D
BGR,5,1,-5.0,-21.0,0,,,0,,,N/D
