aeroporto,mese,voli_ritardo_basso,ritardo_medio_dep_basso,ritardo_medio_arr_basso,voli_ritardo_medio,ritardo_medio_dep_medio,ritardo_medio_arr_medio,voli_ritardo_alto,ritardo_medio_dep_alto,ritardo_medio_arr_alto,top_3_cause_ritardo_canc
SLN,5,29,-7.72,-10.66,4,19.5,15.5,12,273.17,271.42,DELAY_CARRIER|DELAY_LATE_AIRCRAFT|CANC_WEATHER
SLN,6,31,-7.84,-14.29,3,35.67,32.0,4,121.5,132.5,DELAY_WEATHER|DELAY_CARRIER|DELAY_LATE_AIRCRAFT
SLN,7,28,-5.96,-12.29,3,26.0,73.0,1,79.0,75.0,DELAY_NAS|DELAY_CARRIER|DELAY_LATE_AIRCRAFT
SLN,8,31,-8.0,-11.52,6,38.67,43.33,3,193.33,185.67,DELAY_CARRIER|DELAY_LATE_AIRCRAFT|DELAY_NAS
SLN,9,34,-8.12,-14.38,3,31.67,25.0,5,203.0,193.2,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_WEATHER
SLN,10,36,-8.53,-12.89,1,16.0,11.0,1,70.0,75.0,DELAY_CARRIER
SLN,11,32,-7.13,-5.09,6,24.67,23.0,3,231.33,230.67,DELAY_CARRIER|CANC_WEATHER|DELAY_LATE_AIRCRAFT
SLN,12,40,-6.5,-6.03,4,42.0,40.0,3,113.0,116.0,DELAY_CARRIER|DELAY_LATE_AIRCRAFT
SMF,1,2350,-2.62,-8.3,337,30.46,23.4,138,131.45,124.52,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
SMF,2,2223,-2.88,-9.12,248,30.32,25.23,109,139.79,136.79,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
SMF,3,2534,-2.22,-6.76,319,29.88,26.32,139,141.4,137.44,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
SMF,4,2522,-2.45,-7.54,373,31.76,25.65,153,117.65,113.96,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
SMF,5,2576,-1.9,-7.38,462,30.43,23.56,182,147.64,142.96,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
SMF,6,2603,-1.27,-6.78,523,30.58,24.23,204,140.05,134.13,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
SMF,7,2658,-1.87,-5.95,522,32.07,28.67,259,158.46,156.98,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
SMF,8,2919,-2.84,-7.9,408,30.25,24.45,191,127.02,121.37,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
SMF,9,2881,-3.06,-8.03,346,29.49,24.58,128,130.66,127.33,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
SMF,10,3029,-3.24,-9.79,337,31.77,26.5,136,126.48,124.74,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
SMF,11,2785,-2.93,-9.95,364,30.09,22.31,109,136.58,133.84,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
SMF,12,2425,-2.18,-9.1,461,31.08,23.8,209,155.66,150.18,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
SMX,1,4,-11.0,-5.25,0,,,3,209.0,200.0,DELAY_LATE_AIRCRAFT|DELAY_CARRIER
SMX,2,6,-6.67,-5.0,0,,,1,203.0,210.0,DELAY_LATE_AIRCRAFT|DELAY_NAS
