compagnia,aeroporto_partenza,numero_voli,ritardo_min_arrivo,ritardo_max_arrivo,ritardo_medio_arrivo,tasso_cancellazione,mesi_operativi
9E,MDT,3,-28.0,-8.0,-15.67,0.0,2|3
9E,DAY,3,-20.0,-6.0,-10.67,0.0,2|6|8
9E,IAD,3,-30.0,-9.0,-21.0,0.0,3|9|10
9E,TUL,3,-21.0,-7.0,-14.0,0.0,9|12
9E,BWI,2,-13.0,12.0,-0.5,0.0,8|10
9E,CMH,2,-20.0,-16.0,-18.0,0.0,1|12
9E,LAN,2,-20.0,23.0,1.5,0.0,7|9
9E,BTR,2,-16.0,15.0,-0.5,0.0,1|2
9E,SDF,2,-14.0,-5.0,-9.5,0.0,5|8
9E,MBS,2,-23.0,-11.0,-17.0,0.0,4
9E,FSD,2,-14.0,0.0,-7.0,0.0,10|12
9E,CRW,2,-28.0,-11.0,-19.5,0.0,1|12
9E,FWA,2,-20.0,-11.0,-15.5,0.0,2|3
9E,AUS,2,-20.0,-19.0,-19.5,0.0,4
9E,CID,2,-19.0,-8.0,-13.5,0.0,9
9E,EYW,2,-17.0,18.0,0.5,0.0,3
9E,ICT,1,-6.0,-6.0,-6.0,0.0,1
9E,PHL,1,-26.0,-26.0,-26.0,0.0,2
9E,LIT,1,-22.0,-22.0,-22.0,0.0,6
9E,GPT,1,14.0,14.0,14.0,0.0,1
9E,GRB,1,-20.0,-20.0,-20.0,0.0,5
9E,FAR,1,-27.0,-27.0,-27.0,0.0,2
9E,TVC,1,-15.0,-15.0,-15.0,0.0,9
9E,RST,1,-14.0,-14.0,-14.0,0.0,2
9E,JAN,1,-28.0,-28.0,-28.0,0.0,12
9E,ATW,1,-5.0,-5.0,-5.0,0.0,4
9E,ABY,1,43.0,43.0,43.0,0.0,1
9E,MIA,1,82.0,82.0,82.0,0.0,12
AA,DFW,1665,-46.0,667.0,18.33,0.0174,1|2|3|4|5|6|7|8|9|10|11|12
AA,CLT,1301,-49.0,853.0,18.37,0.0069,1|2|3|4|5|6|7|8|9|10|11|12
AA,MIA,608,-40.0,659.0,14.24,0.0181,1|2|3|4|5|6|7|8|9|10|11|12
AA,PHX,563,-38.0,441.0,6.13,0.0053,1|2|3|4|5|6|7|8|9|10|11|12
AA,ORD,535,-53.0,1468.0,18.08,0.0093,1|2|3|4|5|6|7|8|9|10|11|12
AA,PHL,475,-55.0,850.0,12.7,0.0232,1|2|3|4|5|6|7|8|9|10|11|12
AA,LAX,317,-42.0,617.0,10.17,0.0126,1|2|3|4|5|6|7|8|9|10|11|12
AA,DCA,288,-53.0,1964.0,18.44,0.0069,1|2|3|4|5|6|7|8|9|10|11|12
AA,MCO,187,-29.0,341.0,12.09,0.0321,1|2|3|4|5|6|7|8|9|10|11|12
AA,BOS,183,-54.0,638.0,6.74,0.0,1|2|3|4|5|6|7|8|9|10|11|12
AA,LGA,180,-54.0,993.0,8.66,0.0222,1|2|3|4|5|6|7|8|9|10|11|12
AA,LAS,164,-55.0,232.0,-0.52,0.0183,1|2|3|4|5|6|7|8|9|10|11|12
AA,JFK,144,-67.0,543.0,2.13,0.0139,1|2|3|4|5|6|7|8|9|10|11|12
AA,RDU,126,-36.0,427.0,17.94,0.0317,1|2|3|4|5|6|7|8|9|10|11|12
AA,AUS,123,-34.0,194.0,3.93,0.0244,1|2|3|4|5|6|7|8|9|10|11|12
AA,SFO,117,-42.0,893.0,9.8,0.0171,1|2|3|4|5|6|7|8|9|10|11|12
AA,TPA,114,-32.0,280.0,11.72,0.0263,1|2|3|4|5|6|7|8|9|10|11|12
AA,SAN,108,-46.0,241.0,0.71,0.0093,1|2|3|4|5|6|7|8|9|10|11|12
AA,BNA,90,-33.0,268.0,14.78,0.0222,1|2|3|4|5|6|7|8|9|10|11|12
AA,STL,83,-44.0,883.0,18.4,0.0,1|2|3|4|5|6|7|8|9|10|11|12
AA,PBI,77,-24.0,415.0,25.35,0.026,1|2|3|4|5|6|7|8|9|10|11|12
AA,ATL,77,-45.0,462.0,22.73,0.0,1|2|3|4|5|6|7|8|9|10|11|12
AA,DEN,76,-34.0,388.0,16.14,0.0,1|2|3|4|5|6|7|8|9|10|11|12
AA,PIT,72,-37.0,595.0,22.28,0.0,1|2|3|4|5|6|7|8|9|10|11|12
AA,JAX,69,-35.0,880.0,20.21,0.029,1|2|3|4|5|6|7|8|9|10|11|12
