aeroporto,mese,voli_ritardo_basso,ritardo_medio_dep_basso,ritardo_medio_arr_basso,voli_ritardo_medio,ritardo_medio_dep_medio,ritardo_medio_arr_medio,voli_ritardo_alto,ritardo_medio_dep_alto,ritardo_medio_arr_alto,top_3_cause_ritardo_canc
SWF,6,22,-5.14,-14.5,6,24.83,26.33,5,131.8,131.0,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_WEATHER
SWF,7,30,-5.03,-1.83,7,23.0,20.43,10,163.2,161.4,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
SWF,8,24,-5.79,-11.46,6,21.33,11.17,7,285.29,287.71,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_WEATHER
SWF,9,14,-8.64,-13.0,1,27.0,-5.0,3,286.33,277.33,DELAY_CARRIER|CANC_WEATHER|DELAY_LATE_AIRCRAFT
SWF,10,25,-9.04,-18.52,5,27.0,22.6,2,131.5,127.0,DELAY_LATE_AIRCRAFT|CANC_WEATHER|DELAY_CARRIER
SWF,11,30,-11.0,-24.43,5,25.2,21.8,1,103.0,88.0,DELAY_CARRIER|DELAY_LATE_AIRCRAFT|DELAY_NAS
SWF,12,46,-7.91,-21.28,2,41.0,38.5,7,113.71,102.14,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
SWO,1,49,-7.63,-17.39,2,26.5,26.5,6,273.5,279.33,CANC_WEATHER|DELAY_WEATHER|DELAY_CARRIER
SWO,2,54,-6.72,-16.72,2,41.5,49.0,2,141.5,124.0,DELAY_CARRIER|DELAY_LATE_AIRCRAFT
SWO,3,57,-5.44,-10.63,2,27.5,19.0,2,124.5,126.5,DELAY_CARRIER|DELAY_LATE_AIRCRAFT|DELAY_WEATHER
SWO,4,48,-3.9,-6.75,5,49.4,57.2,6,155.33,165.33,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
SWO,5,47,-7.17,-12.38,2,48.5,37.0,8,282.5,282.62,CANC_WEATHER|DELAY_CARRIER|DELAY_WEATHER
SWO,6,51,-8.18,-13.88,3,27.67,32.67,6,152.83,159.17,DELAY_CARRIER|DELAY_NAS|DELAY_WEATHER
SWO,7,54,-8.52,-10.43,3,34.33,30.67,4,219.75,215.75,DELAY_CARRIER|DELAY_NAS|DELAY_WEATHER
SWO,8,56,-8.36,-8.3,4,27.25,21.5,2,212.0,211.0,DELAY_CARRIER|DELAY_NAS|DELAY_WEATHER
SWO,9,54,-7.81,-6.8,3,19.67,20.33,3,97.0,103.0,DELAY_CARRIER|DELAY_NAS|DELAY_WEATHER
SWO,10,51,-9.65,-13.35,6,30.17,24.5,5,143.6,139.8,DELAY_CARRIER
SWO,11,47,-7.62,-11.77,8,25.62,24.5,3,217.67,223.67,DELAY_CARRIER|DELAY_NAS|DELAY_WEATHER
SWO,12,52,-6.67,-13.67,3,46.33,44.0,3,268.0,260.67,DELAY_CARRIER|CANC_WEATHER
SYR,1,867,-5.38,-14.71,106,33.4,26.16,67,168.58,169.01,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
SYR,2,936,-5.49,-20.46,97,30.45,20.62,57,170.26,166.05,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
SYR,3,977,-4.84,-15.72,118,31.72,24.42,85,156.88,157.44,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
SYR,4,955,-5.1,-11.9,90,28.63,19.26,50,145.08,143.9,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
SYR,5,933,-4.28,-10.29,125,31.46,28.66,82,203.71,203.56,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
SYR,6,981,-4.95,-11.2,122,31.56,26.89,68,141.35,137.31,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
SYR,7,897,-3.45,-8.48,154,30.21,28.54,156,155.56,155.09,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
SYR,8,858,-3.59,-7.55,143,32.02,30.77,82,165.3,168.23,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
SYR,9,918,-5.34,-9.79,74,31.32,25.38,41,160.05,155.76,DELAY_NAS|DELAY_LATE_AIRCRAFT|DELAY_CARRIER
SYR,10,958,-4.93,-12.14,77,32.42,21.61,35,167.31,162.4,DELAY_CARRIER|DELAY_LATE_AIRCRAFT|DELAY_NAS
SYR,11,864,-4.3,-12.46,95,29.47,20.93,38,185.29,176.84,DELAY_CARRIER|DELAY_NAS|DELAY_LATE_AIRCRAFT
SYR,12,806,-2.97,-6.6,147,29.41,27.46,87,142.05,140.09,DELAY_NAS|DELAY_CARRIER|DELAY_LATE_AIRCRAFT
TLH,1,389,-3.96,-6.27,59,31.2,28.54,24,125.62,124.54,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
