compagnia,aeroporto_partenza,numero_voli,ritardo_min_arrivo,ritardo_max_arrivo,ritardo_medio_arrivo,tasso_cancellazione,mesi_operativi
9E,VLD,1440,-34.0,405.0,3.89,0.0236,1|2|3|4|5|6|7|8|9|10|11|12
9E,EVV,1402,-40.0,422.0,-4.27,0.01,1|2|3|6|7|8|9|10|11|12
9E,AVL,1344,-43.0,949.0,1.92,0.0208,1|2|3|4|5|6|7|8|9|10|11|12
9E,SGF,1268,-40.0,339.0,0.72,0.0047,1|2|3|4|5|7|8|9|10|11|12
9E,TLH,1252,-37.0,1143.0,8.5,0.024,1|2|3|4|5|6|7|8|9|10|11|12
9E,CSG,1190,-37.0,1247.0,3.69,0.0303,1|2|3|4|5|6|7|8|9|10|11|12
9E,HSV,1180,-32.0,989.0,2.61,0.0153,1|2|3|4|5|6|7|8|10|11|12
9E,OAJ,1096,-39.0,1157.0,0.57,0.0,1|2|3|4|5|6|7|8|9|10|11|12
9E,MYR,1090,-42.0,1011.0,-1.78,0.0239,1|2|3|4|5|6|7|8|9|10|11|12
9E,DHN,1070,-41.0,937.0,3.57,0.0056,1|2|3|4|5|6|9|10|11|12
9E,BWI,1000,-45.0,494.0,10.34,0.056,1|2|3|4|5|6|7|8|9|10
9E,BTR,998,-34.0,1015.0,5.55,0.018,1|2|3|5|6|7|8|9|10|11|12
9E,OMA,992,-39.0,779.0,5.02,0.0302,1|2|3|4|5|6|7|8|9|10|11|12
9E,DAY,962,-38.0,558.0,-2.41,0.0229,1|2|3|4|5|6|7|8|9|10|11|12
9E,IAD,776,-55.0,382.0,-5.31,0.0026,1|2|3|4|9|10|11|12
9E,AUS,758,-35.0,1225.0,14.15,0.0053,1|2|3|4|5|6|7|11
9E,BDL,732,-31.0,303.0,1.55,0.0301,1|2|3|4|5|6|7|8|9|10|12
9E,BGM,732,-50.0,1051.0,7.27,0.0328,1|2|3|4|5|6|7|8|9|10|11|12
9E,FSD,708,-48.0,412.0,5.62,0.0085,1|2|3|4|5|6|7|8|9|10|11|12
9E,FAY,698,-32.0,949.0,8.37,0.0,1|2|3|4|5|6|9|10|11|12
9E,ORH,598,-40.0,1027.0,10.19,0.0502,1|2|3|4|5|6|7|8|9|10|11|12
9E,MDT,576,-50.0,391.0,-2.32,0.0104,1|2|3|4|5|6|11|12
9E,LIT,568,-39.0,457.0,8.23,0.0141,1|2|3|4|6|7|8|9|10|11|12
9E,PNS,528,-43.0,1089.0,16.91,0.0114,1|2|3|4|5|6|7|8|9|11|12
9E,TUL,520,-44.0,156.0,-1.43,0.0,1|2|3|4|5|6|9|10|11|12
9E,CMH,502,-40.0,344.0,1.48,0.004,1|3|4|5|6|8|9|10|11|12
9E,JAN,496,-30.0,894.0,3.44,0.004,1|2|9|10|11|12
9E,RST,488,-35.0,865.0,8.85,0.0205,1|2|3|4|6|7|8|9|10|12
9E,TVC,480,-37.0,1144.0,6.03,0.0083,1|4|5|6|7|8|9|10|11
9E,FWA,466,-54.0,351.0,-2.94,0.0343,1|2|3|11
9E,FAR,448,-36.0,267.0,-2.27,0.0045,1|2|3|4|5|6|7|8|9|10|11
9E,LEX,430,-38.0,181.0,-1.7,0.0,1|2|3|4|5|11|12
9E,RAP,390,-37.0,951.0,10.47,0.0,6|7|8|11|12
9E,DLH,378,-27.0,241.0,8.02,0.0106,4|5|6|7|8|9
9E,CRW,360,-36.0,149.0,-6.53,0.0,1|3|4|9|10|11|12
9E,ATW,350,-34.0,420.0,9.39,0.0,1|4|5|6|7|8|9|10
9E,SDF,346,-36.0,518.0,9.88,0.0231,1|2|4|5|6|7|8|9|10|12
9E,ICT,336,-34.0,204.0,1.93,0.0,1|2|3|11|12
9E,CID,320,-35.0,129.0,-2.62,0.0,1|4|5|9|10|11
9E,EYW,318,-27.0,561.0,21.96,0.0189,1|2|3|4|5|12
9E,PHL,300,-37.0,371.0,-2.3,0.0,1|2|3|11|12
9E,LAN,292,-32.0,280.0,0.34,0.0205,1|2|3|7|8|9|10
9E,BQK,284,-31.0,508.0,8.09,0.0,3|4|6|7|11|12
9E,GNV,244,-42.0,322.0,1.05,0.0082,1|3|4|6|7|8|11|12
9E,MQT,240,-45.0,87.0,-14.38,0.025,1|2|3|5|6
9E,MBS,192,-27.0,103.0,-4.93,0.0,4|5|6|7|8
9E,GFK,172,-45.0,478.0,10.98,0.0,1|2|3|9|12
9E,ORD,158,-26.0,266.0,10.86,0.0127,1|3|4|6|7|10|11
9E,GRB,146,-42.0,331.0,-10.49,0.0,1|4|5|10
9E,GPT,110,-34.0,221.0,-1.07,0.0,1|4|11|12
9E,ABY,76,-32.0,321.0,4.37,0.0,1|2|3|11|12
9E,ECP,48,-22.0,262.0,35.21,0.0,1
9E,FLL,44,-21.0,89.0,13.86,0.0,1|12
9E,VPS,42,-9.0,102.0,23.5,0.0476,1|2|3|9|10
9E,RSW,38,-28.0,78.0,5.32,0.0,1|12
9E,MIA,30,-23.0,99.0,35.53,0.0,1|12
9E,AZO,28,-22.0,71.0,-2.93,0.0,1
9E,SBN,22,-31.0,-9.0,-16.45,0.0,1|9|10|11|12
9E,BIS,20,-17.0,102.0,16.0,0.0,7|8|9
9E,TPA,16,-3.0,296.0,87.63,0.0,12
9E,BOS,16,-38.0,23.0,-17.86,0.125,1
9E,OKC,8,-12.0,171.0,39.0,0.0,10|11
9E,MSY,4,-42.0,-13.0,-27.5,0.0,1
9E,DFW,4,127.0,133.0,130.0,0.0,12
AA,DFW,331732,-63.0,2114.0,19.29,0.0199,1|2|3|4|5|6|7|8|9|10|11|12
AA,CLT,252356,-65.0,1637.0,17.11,0.0134,1|2|3|4|5|6|7|8|9|10|11|12
AA,MIA,119360,-68.0,1816.0,17.41,0.0168,1|2|3|4|5|6|7|8|9|10|11|12
AA,PHX,110126,-88.0,1479.0,8.34,0.0055,1|2|3|4|5|6|7|8|9|10|11|12
AA,ORD,103636,-71.0,2418.0,16.99,0.0111,1|2|3|4|5|6|7|8|9|10|11|12
AA,PHL,90944,-67.0,2189.0,11.19,0.0168,1|2|3|4|5|6|7|8|9|10|11|12
AA,LAX,60600,-64.0,2627.0,9.76,0.0067,1|2|3|4|5|6|7|8|9|10|11|12
AA,DCA,54796,-82.0,1964.0,9.64,0.0156,1|2|3|4|5|6|7|8|9|10|11|12
AA,MCO,35972,-48.0,1399.0,14.95,0.0192,1|2|3|4|5|6|7|8|9|10|11|12
AA,BOS,34252,-77.0,2251.0,4.68,0.0137,1|2|3|4|5|6|7|8|9|10|11|12
AA,LGA,33238,-66.0,1887.0,8.7,0.0231,1|2|3|4|5|6|7|8|9|10|11|12
AA,JFK,28922,-89.0,1707.0,0.72,0.0113,1|2|3|4|5|6|7|8|9|10|11|12
AA,LAS,27880,-55.0,3023.0,12.32,0.0107,1|2|3|4|5|6|7|8|9|10|11|12
