compagnia,aeroporto_partenza,numero_voli,ritardo_min_arrivo,ritardo_max_arrivo,ritardo_medio_arrivo,tasso_cancellazione,mesi_operativi
9E,GTR,339,-36.0,381.0,-6.32,0.0059,1|2|3|4|5|6|7|8|9|10|11|12
9E,CWA,332,-39.0,263.0,-7.02,0.009,1|2|3|4|5|6|7|8|9|10|11|12
9E,CSG,310,-37.0,317.0,0.99,0.0226,2|3|4|5|6|7|8|9|10|11|12
9E,SGF,308,-36.0,339.0,-0.51,0.0,1|2|3|4|5|7|8|9|10|11|12
9E,TLH,296,-31.0,1143.0,13.07,0.0338,1|2|3|4|5|6|7|8|9|10|11|12
9E,DHN,284,-41.0,937.0,4.73,0.0035,1|2|3|4|5|6|9|10|11|12
9E,HSV,274,-32.0,989.0,5.6,0.0182,1|2|3|4|5|6|7|8|10|11|12
9E,OAJ,269,-35.0,951.0,0.54,0.0,1|2|3|4|5|6|7|8|9|10|11|12
9E,MYR,266,-42.0,1011.0,-3.78,0.0188,1|2|3|4|5|6|7|8|9|10|11|12
9E,OMA,251,-36.0,752.0,-2.67,0.0199,1|2|3|4|5|6|7|8|9|10|11|12
9E,DAY,245,-38.0,558.0,-2.25,0.0245,1|2|3|4|5|6|7|8|9|10|11|12
9E,BWI,244,-45.0,345.0,8.09,0.041,1|2|3|4|5|6|7|8|9|10
9E,BTR,242,-33.0,1015.0,13.03,0.0083,1|2|3|5|6|7|8|9|10|11|12
9E,AUS,200,-35.0,1225.0,18.52,0.0,1|2|3|4|5|6|7|11
9E,BGM,193,-50.0,1051.0,9.63,0.0207,1|2|3|4|5|6|7|8|9|10|11|12
9E,IAD,188,-55.0,202.0,-6.66,0.0053,1|2|3|4|9|10|11|12
9E,BDL,187,-30.0,303.0,2.14,0.0267,1|2|3|4|5|6|7|8|9|10|12
9E,FSD,173,-48.0,412.0,7.14,0.0173,1|2|3|4|5|6|7|8|9|10|11|12
