compagnia,aeroporto_partenza,numero_voli,ritardo_min_arrivo,ritardo_max_arrivo,ritardo_medio_arrivo,tasso_cancellazione,mesi_operativi
9E,LGA,160055,-69.0,1100.0,-3.05,0.035,1|2|3|4|5|6|7|8|9|10|11|12
9E,ATL,133990,-43.0,1207.0,2.46,0.0109,1|2|3|4|5|6|7|8|9|10|11|12
9E,JFK,85540,-60.0,1082.0,1.1,0.0345,1|2|3|4|5|6|7|8|9|10|11|12
9E,DTW,63560,-46.0,941.0,0.18,0.0093,1|2|3|4|5|6|7|8|9|10|11|12
9E,MSP,37700,-50.0,893.0,3.14,0.0081,1|2|3|4|5|6|7|8|9|10|11|12
9E,CVG,33025,-56.0,1035.0,2.07,0.0174,1|2|3|4|5|6|7|8|9|10|11|12
9E,RDU,32125,-47.0,1018.0,8.06,0.0297,1|2|3|4|5|6|7|8|9|10|11|12
9E,CLT,15665,-53.0,1027.0,9.04,0.0393,1|2|3|4|5|6|7|8|9|10|11|12
9E,TYS,14545,-49.0,781.0,-4.82,0.0172,1|2|3|4|5|6|7|8|9|10|11|12
9E,ROC,13415,-49.0,1184.0,1.37,0.0335,1|2|3|4|5|6|7|8|9|10|11|12
9E,DSM,12960,-42.0,1272.0,0.87,0.0174,1|2|3|4|5|6|7|8|9|10|11|12
9E,CLE,12400,-48.0,1132.0,5.67,0.0278,1|2|3|4|5|6|7|8|9|10|11|12
9E,IND,12050,-48.0,1086.0,-1.08,0.0228,1|2|3|4|5|6|7|8|9|10|11|12
9E,ORF,10965,-43.0,1024.0,6.57,0.0274,1|2|3|4|5|6|7|8|9|10|11|12
9E,RIC,10165,-46.0,1101.0,7.08,0.032,1|2|3|4|5|6|7|8|9|10|11|12
9E,DCA,10080,-44.0,1036.0,8.48,0.0193,1|2|3|4|5|6|7|8|9|10|11|12
9E,SYR,10025,-56.0,677.0,-3.64,0.0249,1|2|3|4|5|6|7|8|9|10|11|12
9E,CHS,9920,-46.0,849.0,3.8,0.0428,1|2|3|4|5|6|7|8|9|10|11|12
9E,XNA,9750,-44.0,894.0,0.3,0.0062,1|2|3|4|5|6|7|8|9|10|11|12
9E,BUF,9605,-49.0,996.0,0.6,0.0302,1|2|3|4|5|6|7|8|9|10|11|12
9E,SAV,9280,-46.0,1159.0,5.9,0.0377,1|2|3|4|5|6|7|8|9|10|11|12
9E,PIT,8990,-50.0,1011.0,7.28,0.0273,1|2|3|4|5|6|7|8|9|10|11|12
9E,CHO,8920,-43.0,1063.0,2.28,0.0269,1|2|3|4|5|6|7|8|9|10|11|12
9E,BTV,8910,-48.0,916.0,1.7,0.0281,1|2|3|4|5|6|7|8|9|10|11|12
9E,EWR,8145,-50.0,1110.0,18.86,0.0387,1|2|3|4|5|6|7|8|9|10|11|12
9E,AGS,8010,-36.0,1091.0,6.97,0.0206,1|2|3|4|5|6|7|8|9|10|11|12
9E,GSO,7765,-46.0,879.0,-2.87,0.0277,1|2|3|4|5|6|7|8|9|10|11|12
9E,CHA,7665,-41.0,1088.0,2.92,0.0065,1|2|3|4|5|6|7|8|9|10|11|12
9E,STL,7375,-42.0,836.0,-2.73,0.0353,1|2|3|4|5|6|7|8|9|10|11|12
9E,GSP,6890,-43.0,829.0,-0.08,0.0218,1|2|3|4|5|6|7|8|9|10|11|12
9E,ILM,6550,-39.0,829.0,1.54,0.0214,1|2|3|4|5|6|7|8|9|10|11|12
9E,BGR,6290,-47.0,459.0,-6.18,0.0405,1|2|3|4|5|6|7|8|9|10|11|12
9E,CAE,6260,-37.0,542.0,1.16,0.0192,1|2|3|4|5|6|7|8|9|10|11|12
9E,MCI,6130,-42.0,1047.0,6.55,0.0424,1|2|3|4|5|6|7|8|9|10|11|12
9E,BNA,5930,-43.0,1214.0,17.46,0.0379,1|2|3|4|5|6|7|8|9|10|11|12
9E,SHV,5850,-37.0,667.0,-1.61,0.0162,1|2|3|4|5|6|7|8|9|10|11|12
9E,TRI,5655,-41.0,685.0,-4.31,0.0071,1|2|3|4|5|6|7|8|9|10|11|12
9E,BHM,5565,-50.0,730.0,-0.67,0.035,1|2|3|4|5|6|7|8|9|10|11|12
9E,ALB,5440,-51.0,394.0,-4.39,0.0193,1|2|3|4|5|6|7|8|9|10|11|12
9E,MEM,5295,-39.0,1305.0,0.3,0.0264,1|2|3|4|5|6|7|8|9|10|11|12
9E,ABE,5075,-47.0,575.0,0.67,0.0138,1|2|3|4|5|6|7|8|9|10|11|12
9E,HPN,4775,-45.0,899.0,1.15,0.0147,1|2|3|4|5|6|7|8|9|10|11|12
9E,ROA,4775,-41.0,830.0,3.75,0.0188,1|2|3|4|5|6|7|8|9|10|11|12
9E,GRR,4675,-42.0,390.0,-2.34,0.0406,1|2|3|4|5|6|7|8|9|10|11|12
9E,MGM,4605,-35.0,1132.0,4.9,0.0065,1|2|3|4|5|6|7|8|9|10|11|12
9E,JAX,4535,-52.0,1147.0,-0.2,0.0276,1|2|3|4|5|6|7|8|9|10|11|12
9E,MKE,4515,-45.0,1114.0,7.81,0.0244,1|2|3|4|5|6|7|8|9|10|11|12
9E,PWM,4465,-44.0,1269.0,13.94,0.0426,1|2|3|4|5|6|7|8|9|10|11|12
9E,AEX,4385,-34.0,979.0,9.61,0.0103,1|2|3|4|5|6|7|8|9|10|11|12
9E,MLU,4345,-42.0,885.0,7.12,0.0081,1|2|3|4|5|6|7|8|9|10|11|12
9E,LFT,3985,-42.0,1171.0,0.74,0.0125,1|2|3|4|5|6|7|8|9|10|11|12
9E,MOB,3845,-33.0,1136.0,-0.21,0.0091,1|2|3|4|5|6|7|8|9|10|11|12
9E,MSN,3755,-58.0,712.0,-0.3,0.0226,1|2|3|4|5|6|7|8|9|10|11|12
9E,PVD,3720,-40.0,1135.0,4.15,0.0228,1|2|3|4|5|6|7|8|9|10|11|12
9E,CWA,3655,-44.0,386.0,-2.9,0.0082,1|2|3|4|5|6|7|8|9|10|11|12
9E,GTR,3645,-38.0,381.0,-3.9,0.011,1|2|3|4|5|6|7|8|9|10|11|12
9E,BMI,3645,-38.0,567.0,0.36,0.0123,1|2|3|4|5|6|7|8|9|10|11|12
9E,ITH,3635,-55.0,1074.0,-3.83,0.0289,1|2|3|4|5|6|7|8|9|10|11|12
9E,MLI,3610,-36.0,477.0,2.49,0.0208,1|2|3|4|5|6|7|8|9|10|11|12
9E,VLD,3600,-34.0,405.0,3.89,0.0236,1|2|3|4|5|6|7|8|9|10|11|12
9E,EVV,3505,-40.0,422.0,-4.27,0.01,1|2|3|6|7|8|9|10|11|12
9E,AVL,3360,-43.0,949.0,1.92,0.0208,1|2|3|4|5|6|7|8|9|10|11|12
9E,SGF,3170,-40.0,339.0,0.72,0.0047,1|2|3|4|5|7|8|9|10|11|12
9E,TLH,3130,-37.0,1143.0,8.5,0.024,1|2|3|4|5|6|7|8|9|10|11|12
9E,CSG,2975,-37.0,1247.0,3.69,0.0303,1|2|3|4|5|6|7|8|9|10|11|12
9E,HSV,2950,-32.0,989.0,2.61,0.0153,1|2|3|4|5|6|7|8|10|11|12
9E,OAJ,2740,-39.0,1157.0,0.57,0.0,1|2|3|4|5|6|7|8|9|10|11|12
9E,MYR,2725,-42.0,1011.0,-1.78,0.0239,1|2|3|4|5|6|7|8|9|10|11|12
