aeroporto,mese,voli_ritardo_basso,ritardo_medio_dep_basso,ritardo_medio_arr_basso,voli_ritardo_medio,ritardo_medio_dep_medio,ritardo_medio_arr_medio,voli_ritardo_alto,ritardo_medio_dep_alto,ritardo_medio_arr_alto,top_3_cause_ritardo_canc
ABE,1,134,-6.14,-14.84,15,37.33,31.6,12,215.33,211.25,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
ABE,2,158,-6.07,-19.75,7,30.29,13.86,7,179.57,170.43,DELAY_CARRIER|DELAY_LATE_AIRCRAFT|DELAY_NAS
ABE,3,161,-6.43,-17.64,11,32.18,17.18,15,183.33,166.93,DELAY_CARRIER|DELAY_LATE_AIRCRAFT|DELAY_NAS
ABE,4,151,-6.44,-16.7,14,31.0,27.79,8,432.0,423.38,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
ABE,5,170,-6.13,-12.99,12,28.5,26.08,20,208.8,201.1,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
ABE,6,175,-6.94,-15.75,17,25.41,11.82,23,190.83,189.87,DELAY_CARRIER|DELAY_LATE_AIRCRAFT|DELAY_NAS
ABE,7,139,-6.3,-10.43,14,34.07,29.71,17,109.47,103.24,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
ABE,8,139,-6.9,-14.63,22,30.05,24.82,13,140.69,134.46,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
ABE,9,139,-7.42,-16.53,13,34.69,27.77,4,237.5,236.25,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_WEATHER
ABE,10,144,-6.04,-17.22,16,26.31,10.94,8,226.0,219.25,CANC_WEATHER|DELAY_CARRIER|DELAY_LATE_AIRCRAFT
