compagnia,aeroporto_partenza,numero_voli,ritardo_min_arrivo,ritardo_max_arrivo,ritardo_medio_arrivo,tasso_cancellazione,mesi_operativi
9E,LGA,6345,-58.0,792.0,-3.06,0.0309,1|2|3|4|5|6|7|8|9|10|11|12
9E,ATL,5363,-40.0,953.0,3.19,0.0114,1|2|3|4|5|6|7|8|9|10|11|12
9E,JFK,3350,-60.0,795.0,0.52,0.0349,1|2|3|4|5|6|7|8|9|10|11|12
9E,DTW,2498,-46.0,663.0,0.88,0.0088,1|2|3|4|5|6|7|8|9|10|11|12
9E,MSP,1483,-50.0,789.0,3.77,0.0067,1|2|3|4|5|6|7|8|9|10|11|12
9E,CVG,1350,-50.0,451.0,1.61,0.017,1|2|3|4|5|6|7|8|9|10|11|12
9E,RDU,1283,-45.0,924.0,8.33,0.0335,1|2|3|4|5|6|7|8|9|10|11|12
9E,CLT,653,-38.0,1027.0,11.71,0.0398,1|2|3|4|5|6|7|8|9|10|11|12
9E,TYS,583,-38.0,230.0,-4.86,0.0103,1|2|3|4|5|6|7|8|9|10|11|12
9E,ROC,531,-40.0,406.0,-0.06,0.0414,1|2|3|4|5|6|7|8|9|10|11|12
9E,DSM,524,-39.0,1272.0,4.14,0.021,1|2|3|4|5|6|7|8|9|10|11|12
9E,IND,501,-48.0,1086.0,1.03,0.0259,1|2|3|4|5|6|7|8|9|10|11|12
9E,CLE,499,-44.0,864.0,7.36,0.02,1|2|3|4|5|6|7|8|9|10|11|12
9E,ORF,439,-43.0,919.0,8.86,0.0296,1|2|3|4|5|6|7|8|9|10|11|12
9E,RIC,437,-38.0,1101.0,8.62,0.0343,1|2|3|4|5|6|7|8|9|10|11|12
9E,XNA,423,-38.0,197.0,-1.84,0.0024,1|2|3|4|5|6|7|8|9|10|11|12
9E,CHS,410,-45.0,849.0,9.42,0.0463,1|2|3|4|5|6|7|8|9|10|11|12
9E,SAV,382,-46.0,405.0,5.12,0.0236,1|2|3|4|5|6|7|8|9|10|11|12
9E,DCA,379,-41.0,911.0,10.18,0.029,1|2|3|4|5|6|7|8|9|10|11|12
9E,SYR,377,-46.0,322.0,-1.11,0.0239,1|2|3|4|5|6|7|8|9|10|11|12
9E,PIT,344,-47.0,691.0,0.23,0.0407,1|2|3|4|5|6|7|8|9|10|11|12
9E,BUF,338,-37.0,310.0,-1.4,0.0237,1|2|3|4|5|6|7|8|9|10|11|12
9E,CHO,335,-39.0,419.0,-2.36,0.0239,1|2|3|4|5|6|7|8|9|10|11|12
9E,EWR,334,-47.0,1103.0,18.24,0.0359,1|2|3|4|5|6|7|8|9|10|11|12
9E,BTV,332,-46.0,916.0,4.37,0.0211,1|2|3|4|5|6|7|8|9|10|11|12
9E,CHA,325,-31.0,411.0,4.77,0.0031,1|2|3|4|5|6|7|8|9|10|11|12
9E,GSO,314,-37.0,232.0,-3.07,0.0191,1|2|3|4|5|6|7|8|9|10|11|12
