aeroporto,mese,voli_ritardo_basso,ritardo_medio_dep_basso,ritardo_medio_arr_basso,voli_ritardo_medio,ritardo_medio_dep_medio,ritardo_medio_arr_medio,voli_ritardo_alto,ritardo_medio_dep_alto,ritardo_medio_arr_alto,top_3_cause_ritardo_canc
ABE,1,137,-5.33,-16.17,18,35.11,30.94,11,283.27,274.64,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
ABE,2,144,-6.48,-20.44,11,23.0,5.91,8,293.75,281.38,DELAY_CARRIER|DELAY_LATE_AIRCRAFT|DELAY_NAS
ABE,3,175,-5.71,-17.33,14,33.86,26.5,10,147.5,138.0,DELAY_CARRIER|DELAY_LATE_AIRCRAFT|DELAY_NAS
ABE,4,155,-6.29,-17.61,15,37.67,24.4,13,273.46,266.85,DELAY_CARRIER|DELAY_LATE_AIRCRAFT|DELAY_NAS
ABE,5,164,-6.59,-12.24,16,28.38,24.94,17,241.12,234.41,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
ABE,6,151,-7.35,-16.44,21,27.48,20.95,19,180.95,186.79,DELAY_CARRIER|DELAY_LATE_AIRCRAFT|DELAY_NAS
ABE,7,131,-6.48,-10.76,19,29.42,20.74,17,157.53,154.88,DELAY_LATE_AIRCRAFT|DELAY_NAS|CANC_CARRIER
ABE,8,172,-6.65,-13.16,20,31.0,22.2,17,146.59,145.24,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
ABE,9,142,-6.65,-15.65,12,37.83,33.5,5,407.0,407.2,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|CANC_WEATHER
ABE,10,151,-6.02,-18.25,20,25.0,10.1,10,173.2,160.0,DELAY_LATE_AIRCRAFT|CANC_WEATHER|DELAY_CARRIER
