aeroporto,mese,voli_ritardo_basso,ritardo_medio_dep_basso,ritardo_medio_arr_basso,voli_ritardo_medio,ritardo_medio_dep_medio,ritardo_medio_arr_medio,voli_ritardo_alto,ritardo_medio_dep_alto,ritardo_medio_arr_alto,top_3_cause_ritardo_canc
ABE,1,53,-4.94,-15.79,7,37.0,30.29,1,158.0,176.0,DELAY_LATE_AIRCRAFT|CANC_WEATHER|DELAY_CARRIER
ABE,2,45,-5.62,-20.78,2,34.5,12.0,4,431.25,415.0,DELAY_CARRIER|DELAY_NAS|CANC_WEATHER
ABE,3,72,-6.4,-18.54,5,37.0,34.8,4,150.0,140.25,DELAY_NAS|DELAY_CARRIER|CANC_WEATHER
ABE,4,66,-7.12,-19.36,7,30.14,18.86,5,386.8,369.6,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|CANC_WEATHER
ABE,5,63,-6.73,-12.48,5,24.0,14.6,3,327.67,314.33,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
ABE,6,62,-7.02,-15.9,9,26.11,24.67,11,200.82,200.45,DELAY_CARRIER|DELAY_LATE_AIRCRAFT|DELAY_NAS
ABE,7,58,-6.48,-11.14,4,38.5,15.75,6,140.67,128.33,DELAY_CARRIER|DELAY_LATE_AIRCRAFT|DELAY_NAS
ABE,8,63,-7.03,-13.27,7,29.14,21.71,8,141.0,141.63,DELAY_NAS|DELAY_LATE_AIRCRAFT|DELAY_CARRIER
ABE,9,59,-7.53,-16.68,5,37.2,22.0,2,843.5,837.5,DELAY_CARRIER|DELAY_LATE_AIRCRAFT|CANC_WEATHER
ABE,10,67,-6.43,-18.88,4,31.5,9.25,5,131.8,114.2,DELAY_LATE_AIRCRAFT|CANC_WEATHER|DELAY_CARRIER
